Tesla V100-PCIE-32GB Training and Evaluation Results
Epoch	Train Loss
Epoch: 1	Train loss: 3.199e-01	Val loss: 4.211e-02	 Learning rate: 0.00025
Epoch: 2	Train loss: 3.313e-02	Val loss: 2.495e-02	 Learning rate: 0.000125
Epoch: 3	Train loss: 1.961e-02	Val loss: 1.645e-02	 Learning rate: 6.25e-05
Epoch: 4	Train loss: 1.512e-02	Val loss: 1.442e-02	 Learning rate: 3.125e-05
Epoch: 5	Train loss: 1.330e-02	Val loss: 1.337e-02	 Learning rate: 1.5625e-05
Epoch: 6	Train loss: 1.219e-02	Val loss: 1.229e-02	 Learning rate: 7.8125e-06
Epoch: 7	Train loss: 1.166e-02	Val loss: 1.202e-02	 Learning rate: 3.90625e-06
Epoch: 8	Train loss: 1.138e-02	Val loss: 1.230e-02	 Learning rate: 9.765625e-07
Epoch: 9	Train loss: 1.119e-02	Val loss: 1.167e-02	 Learning rate: 4.8828125e-07
Epoch: 10	Train loss: 1.113e-02	Val loss: 1.165e-02	 Learning rate: 2.44140625e-07
Epoch: 11	Train loss: 1.110e-02	Val loss: 1.162e-02	 Learning rate: 1.220703125e-07
Epoch: 12	Train loss: 1.109e-02	Val loss: 1.161e-02	 Learning rate: 6.103515625e-08
Epoch: 13	Train loss: 1.108e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 14	Train loss: 1.108e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 15	Train loss: 1.108e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 16	Train loss: 1.108e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 17	Train loss: 1.108e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 18	Train loss: 1.108e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 19	Train loss: 1.108e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 20	Train loss: 1.108e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 21	Train loss: 1.107e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 22	Train loss: 1.107e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 23	Train loss: 1.107e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 24	Train loss: 1.107e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 25	Train loss: 1.107e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 26	Train loss: 1.107e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
Epoch: 27	Train loss: 1.107e-02	Val loss: 1.161e-02	 Learning rate: 1.52587890625e-08
